Franch Guyana	French Guiana
Iran, Islamic Republic of	Islamic Republic of Iran
Virgin Islands, U.S.	U.S. Virgin Islands
Saint Kitts & Nevis	Saint Kitts and Nevis
Antigua & Barbuda	Antigua and Barbuda
St. Vincent & the Grenadines	Saint Vincent and the Grenadines
Sao Tome & Principe	São Tomé and Príncipe
Trinidad & Tobago	Trinidad and Tobago
Congo (Rep.)	Congo
Bosnia & Herzegovina	Bosnia and Herzegovina
Serbia & Montenegro	Serbia and Montenegro
Congo (Dem. Rep. of )	Democratic Republic of the Congo
Phillipines	Philippines
